member_id,member_name,segment,age,gender,income_level,membership_type,join_date
MEM-1,Christina Smith,Consumer,30,Male,Medium,Bronze,2015-01-01
MEM-2,Christine Johnson,Home Office,44,Female,Medium,Silver,2015-01-02
MEM-3,Brian Ryan,Corporate,55,Female,Medium,Bronze,2015-01-03
MEM-4,Scott Brown,Corporate,50,Female,Low,Gold,2015-01-04
MEM-5,Randy Wilson,Consumer,23,Female,Medium,Bronze,2015-01-05
MEM-6,Andrew Wilkerson,Consumer,30,Female,Medium,Gold,2015-01-06
MEM-7,Sally Ramos,Consumer,30,Female,Low,Silver,2015-01-07
MEM-8,Claire Evans,Home Office,30,Female,Low,Bronze,2015-01-08
MEM-9,Katrina Tran,Corporate,37,Female,Low,Gold,2015-01-09
MEM-10,Lori Bolton,Corporate,53,Male,Low,Bronze,2015-01-10
MEM-11,Lisa Winters,Consumer,54,Female,Medium,Bronze,2015-01-11
MEM-12,Anthony Watson,Home Office,62,Male,Low,Bronze,2015-01-12
MEM-13,Anthony Lindsey,Home Office,26,Male,Medium,Gold,2015-01-13
MEM-14,Samuel Reilly,Consumer,34,Male,Medium,Bronze,2015-01-14
MEM-15,Michael Jackson,Consumer,52,Male,High,Silver,2015-01-15
MEM-16,Justin Walker,Consumer,69,Female,Low,Gold,2015-01-16
MEM-17,Patricia Byrd,Consumer,35,Female,Medium,Bronze,2015-01-17
MEM-18,Jennifer Richards MD,Corporate,42,Male,Medium,Silver,2015-01-18
MEM-19,Donald James,Consumer,32,Male,Medium,Gold,2015-01-19
MEM-20,Michael Morgan,Consumer,40,Male,Medium,Silver,2015-01-20
MEM-21,Margaret Hull,Corporate,18,Female,High,Silver,2015-01-21
MEM-22,Deborah Gonzalez,Consumer,58,Female,Low,Silver,2015-01-22
MEM-23,Megan Rodriguez,Consumer,55,Female,Medium,Gold,2015-01-23
MEM-24,Holly Ibarra,Consumer,35,Female,Low,Bronze,2015-01-24
MEM-25,Tammy Allen,Consumer,18,Female,Medium,Silver,2015-01-25
MEM-26,Brooke Burch,Corporate,56,Male,Medium,Bronze,2015-01-26
MEM-27,Sandra Ray,Consumer,27,Female,Low,Bronze,2015-01-27
MEM-28,Daniel Richardson,Corporate,48,Male,Low,Gold,2015-01-28
MEM-29,Margaret Howard,Corporate,55,Male,Medium,Bronze,2015-01-29
MEM-30,Lori Welch,Consumer,24,Male,Low,Gold,2015-01-30
MEM-31,Diana Scott,Corporate,55,Male,Medium,Gold,2015-01-31
MEM-32,Eric Patton,Consumer,25,Female,Low,Gold,2015-02-01
MEM-33,Mary Patterson,Consumer,51,Female,High,Bronze,2015-02-02
MEM-34,Robert Hatfield,Home Office,26,Female,Medium,Bronze,2015-02-03
MEM-35,Cheryl Davis,Home Office,42,Female,Medium,Silver,2015-02-04
MEM-36,Christopher Smith,Home Office,44,Female,Medium,Silver,2015-02-05
MEM-37,John Woods,Consumer,58,Male,Medium,Silver,2015-02-06
MEM-38,Johnny Frost,Consumer,24,Female,Medium,Bronze,2015-02-07
MEM-39,Madison Ortiz,Corporate,49,Female,Medium,Bronze,2015-02-08
MEM-40,Mark Myers,Consumer,26,Female,Medium,Bronze,2015-02-09
MEM-41,Tyler Flores,Consumer,34,Male,Medium,Silver,2015-02-10
MEM-42,Mr. Andrew Greer DVM,Consumer,52,Male,High,Gold,2015-02-11
MEM-43,Bryan Rodriguez,Consumer,65,Female,Medium,Gold,2015-02-12
MEM-44,Tonya White,Home Office,33,Male,Low,Gold,2015-02-13
MEM-45,Rhonda Brooks,Consumer,19,Male,Medium,Bronze,2015-02-14
MEM-46,James Griffin,Corporate,60,Male,High,Silver,2015-02-15
MEM-47,Shawn Coleman,Consumer,48,Male,Low,Bronze,2015-02-16
MEM-48,Garrett Fields,Corporate,33,Female,Medium,Gold,2015-02-17
MEM-49,Lindsey Williams MD,Corporate,64,Female,High,Silver,2015-02-18
MEM-50,Edward Lopez,Consumer,50,Male,Medium,Gold,2015-02-19
MEM-51,Richard Taylor,Home Office,38,Male,Low,Bronze,2015-02-20
MEM-52,Thomas Barnes,Corporate,34,Male,Medium,Bronze,2015-02-21
MEM-53,Richard Robles,Home Office,52,Male,Medium,Bronze,2015-02-22
MEM-54,Jasmine Wheeler,Home Office,68,Male,High,Bronze,2015-02-23
MEM-55,Gail Wilson,Corporate,69,Male,Low,Silver,2015-02-24
MEM-56,Jill Wilson,Home Office,24,Female,High,Bronze,2015-02-25
MEM-57,Deborah Griffith,Consumer,46,Male,Low,Bronze,2015-02-26
MEM-58,Jennifer Crawford,Consumer,28,Female,High,Gold,2015-02-27
MEM-59,Meredith Rivera,Consumer,47,Female,Low,Silver,2015-02-28
MEM-60,Susan Smith,Consumer,35,Female,Low,Gold,2015-03-01
MEM-61,Grant Barry,Consumer,63,Male,Low,Bronze,2015-03-02
MEM-62,Derek Adams,Consumer,33,Male,Medium,Bronze,2015-03-03
MEM-63,Gloria Parks,Home Office,23,Female,Medium,Bronze,2015-03-04
MEM-64,Bridget Snyder,Consumer,19,Female,Medium,Silver,2015-03-05
MEM-65,Samuel Garcia,Consumer,60,Male,Medium,Silver,2015-03-06
MEM-66,Amy Marsh,Corporate,60,Male,Low,Gold,2015-03-07
MEM-67,Michael Andrews,Consumer,27,Male,High,Bronze,2015-03-08
MEM-68,Leslie Andrews,Home Office,21,Male,Low,Bronze,2015-03-09
MEM-69,Carla Conner,Consumer,66,Male,Medium,Gold,2015-03-10
MEM-70,Raymond Kelly,Home Office,27,Female,Medium,Bronze,2015-03-11
MEM-71,Charles Watkins,Corporate,26,Male,Medium,Silver,2015-03-12
MEM-72,Dominique Mack,Consumer,62,Female,Low,Bronze,2015-03-13
MEM-73,Pamela Wright,Consumer,60,Female,Low,Silver,2015-03-14
MEM-74,Mariah Diaz,Home Office,59,Female,High,Bronze,2015-03-15
MEM-75,Mary Caldwell,Corporate,41,Female,High,Gold,2015-03-16
MEM-76,Regina Rice,Corporate,22,Male,Medium,Bronze,2015-03-17
MEM-77,Malik King,Corporate,52,Female,Low,Gold,2015-03-18
MEM-78,Tyler Chandler,Consumer,21,Female,High,Bronze,2015-03-19
MEM-79,Anna Collins,Consumer,52,Male,Medium,Bronze,2015-03-20
MEM-80,Jordan Pearson,Consumer,59,Male,Medium,Bronze,2015-03-21
MEM-81,Cheryl Anderson,Home Office,30,Female,Medium,Gold,2015-03-22
MEM-82,Antonio Craig,Corporate,54,Male,High,Silver,2015-03-23
MEM-83,Elizabeth Cameron,Consumer,49,Male,Low,Silver,2015-03-24
MEM-84,Catherine Martinez,Consumer,62,Male,Medium,Silver,2015-03-25
MEM-85,Robert Oconnor,Consumer,18,Male,High,Gold,2015-03-26
MEM-86,Jesse Cohen,Consumer,28,Male,Medium,Bronze,2015-03-27
MEM-87,Maria Dyer,Corporate,43,Female,High,Silver,2015-03-28
MEM-88,Jennifer Osborne,Corporate,20,Male,Medium,Silver,2015-03-29
MEM-89,Jesse Edwards,Home Office,66,Male,Low,Gold,2015-03-30
MEM-90,Megan Jackson,Consumer,68,Male,Low,Bronze,2015-03-31
MEM-91,Nancy Sanchez,Consumer,30,Male,Low,Gold,2015-04-01
MEM-92,Michelle Ramirez,Corporate,49,Female,High,Bronze,2015-04-02
MEM-93,Ryan Kelly,Corporate,65,Male,High,Bronze,2015-04-03
MEM-94,Ana Ward,Corporate,67,Female,Medium,Bronze,2015-04-04
MEM-95,Nancy Medina,Corporate,40,Male,Medium,Gold,2015-04-05
MEM-96,Robert Green,Consumer,69,Female,Low,Bronze,2015-04-06
MEM-97,Olivia Powell,Corporate,40,Male,Low,Bronze,2015-04-07
MEM-98,Randy Roman,Consumer,68,Male,Low,Silver,2015-04-08
MEM-99,George Villegas,Consumer,47,Female,High,Silver,2015-04-09
MEM-100,Jerome Harvey,Consumer,23,Male,Low,Bronze,2015-04-10
MEM-101,Kelsey Garrett,Consumer,24,Female,High,Silver,2015-04-11
MEM-102,Michele Salazar,Corporate,64,Male,High,Silver,2015-04-12
MEM-103,Michael Beard,Consumer,47,Female,Low,Bronze,2015-04-13
MEM-104,Ashley Prince,Corporate,54,Female,High,Bronze,2015-04-14
MEM-105,Austin Holmes,Home Office,65,Male,High,Bronze,2015-04-15
MEM-106,David King,Consumer,49,Female,Medium,Silver,2015-04-16
MEM-107,Gregory Flowers,Consumer,23,Male,Medium,Bronze,2015-04-17
MEM-108,Tonya Vang,Corporate,52,Female,Medium,Silver,2015-04-18
MEM-109,Michelle Montoya MD,Consumer,49,Male,Medium,Silver,2015-04-19
MEM-110,Nicole Ford,Consumer,29,Female,Medium,Bronze,2015-04-20
MEM-111,Nina Martinez,Consumer,21,Female,High,Silver,2015-04-21
MEM-112,Christina Cruz,Consumer,49,Male,Low,Silver,2015-04-22
MEM-113,Steven King,Home Office,52,Female,Low,Silver,2015-04-23
MEM-114,Robin Powers,Home Office,65,Male,Medium,Silver,2015-04-24
MEM-115,Paula Nguyen,Corporate,33,Male,Low,Silver,2015-04-25
MEM-116,John Rodriguez,Home Office,68,Male,High,Bronze,2015-04-26
MEM-117,Jodi Campbell MD,Home Office,32,Male,Medium,Gold,2015-04-27
MEM-118,Melissa Cruz,Consumer,58,Male,Medium,Gold,2015-04-28
MEM-119,Ebony Curtis,Home Office,69,Male,High,Silver,2015-04-29
MEM-120,Mr. Derrick Sanchez,Corporate,19,Male,Low,Silver,2015-04-30
MEM-121,Mary Fowler,Home Office,23,Male,Low,Silver,2015-05-01
MEM-122,Aaron Conley,Home Office,31,Male,High,Bronze,2015-05-02
MEM-123,Julie Pham,Consumer,58,Male,Medium,Gold,2015-05-03
MEM-124,Theresa Coleman MD,Consumer,46,Male,High,Bronze,2015-05-04
MEM-125,Deborah Carpenter,Consumer,59,Female,High,Silver,2015-05-05
MEM-126,Matthew Atkinson,Consumer,43,Male,Medium,Bronze,2015-05-06
MEM-127,Thomas Perry,Home Office,35,Male,Medium,Silver,2015-05-07
MEM-128,Jeremy Spears,Home Office,64,Male,High,Bronze,2015-05-08
MEM-129,Mary Anderson,Consumer,21,Female,Low,Silver,2015-05-09
MEM-130,Paul Lloyd,Corporate,54,Male,Medium,Bronze,2015-05-10
MEM-131,Christian Vincent,Consumer,55,Male,Low,Bronze,2015-05-11
MEM-132,Grant Howard,Consumer,42,Male,Medium,Silver,2015-05-12
MEM-133,Carly Flores,Consumer,64,Female,Low,Gold,2015-05-13
MEM-134,Carol Kennedy,Consumer,69,Male,Medium,Silver,2015-05-14
MEM-135,Holly Mccullough,Home Office,46,Female,High,Bronze,2015-05-15
MEM-136,James Higgins,Consumer,51,Male,High,Bronze,2015-05-16
MEM-137,Jason Ellis,Corporate,33,Male,High,Gold,2015-05-17
MEM-138,Amanda Harvey,Corporate,54,Female,Low,Bronze,2015-05-18
MEM-139,Benjamin Ramos,Consumer,47,Female,Medium,Silver,2015-05-19
MEM-140,James Santos,Home Office,40,Female,Medium,Gold,2015-05-20
MEM-141,April Thompson,Home Office,53,Male,Low,Bronze,2015-05-21
MEM-142,Kiara Lewis,Consumer,45,Female,Low,Bronze,2015-05-22
MEM-143,Ashley Chavez,Consumer,18,Female,Low,Bronze,2015-05-23
MEM-144,Adam Moss,Consumer,25,Male,Medium,Silver,2015-05-24
MEM-145,Brittany Mays,Consumer,59,Male,High,Gold,2015-05-25
MEM-146,James Hunt,Consumer,32,Male,Medium,Bronze,2015-05-26
MEM-147,Susan Ray,Corporate,51,Female,High,Bronze,2015-05-27
MEM-148,Chelsea Scott,Corporate,36,Male,Low,Bronze,2015-05-28
MEM-149,Ashlee Moreno,Consumer,61,Male,Low,Bronze,2015-05-29
MEM-150,Ashley Lewis,Consumer,47,Female,High,Bronze,2015-05-30
MEM-151,Stephanie Freeman,Home Office,27,Male,Medium,Bronze,2015-05-31
MEM-152,Laura Morris,Consumer,61,Male,Medium,Silver,2015-06-01
MEM-153,Andrew Mills,Consumer,44,Female,Medium,Bronze,2015-06-02
MEM-154,Joshua Bright,Consumer,37,Female,Medium,Bronze,2015-06-03
MEM-155,Bradley Morse,Home Office,42,Female,High,Bronze,2015-06-04
MEM-156,Jennifer Thomas,Consumer,26,Female,Medium,Bronze,2015-06-05
MEM-157,Haley Lyons,Corporate,57,Female,High,Bronze,2015-06-06
MEM-158,Denise Gomez,Corporate,51,Male,High,Silver,2015-06-07
MEM-159,Kimberly Blair,Consumer,38,Female,Medium,Silver,2015-06-08
MEM-160,Jennifer Werner,Corporate,41,Female,Medium,Silver,2015-06-09
MEM-161,Jonathan Hubbard,Consumer,24,Male,High,Gold,2015-06-10
MEM-162,Jerry Marks,Corporate,21,Female,High,Bronze,2015-06-11
MEM-163,Jessica Smith,Corporate,68,Female,Low,Bronze,2015-06-12
MEM-164,Gina Wade,Corporate,25,Male,Medium,Silver,2015-06-13
MEM-165,Paul Moore,Consumer,30,Male,High,Silver,2015-06-14
MEM-166,Jason Harper,Home Office,38,Male,Low,Bronze,2015-06-15
MEM-167,Lauren Rodriguez,Consumer,52,Male,Medium,Silver,2015-06-16
MEM-168,Kimberly Smith,Consumer,22,Male,Medium,Bronze,2015-06-17
MEM-169,Richard Wood,Consumer,69,Male,Low,Gold,2015-06-18
MEM-170,Angela Dickerson,Corporate,25,Female,Medium,Bronze,2015-06-19
MEM-171,David Clarke,Corporate,19,Male,High,Silver,2015-06-20
MEM-172,Jacqueline Blackburn,Consumer,41,Male,Medium,Bronze,2015-06-21
MEM-173,Jimmy Bradley,Corporate,59,Male,Medium,Bronze,2015-06-22
MEM-174,John Thomas,Consumer,33,Male,Medium,Gold,2015-06-23
MEM-175,Drew Lopez DVM,Corporate,21,Female,High,Gold,2015-06-24
MEM-176,Kathleen Pena,Consumer,47,Male,Medium,Bronze,2015-06-25
MEM-177,Jonathan Harrington,Corporate,63,Female,Medium,Bronze,2015-06-26
MEM-178,John Davis,Consumer,47,Female,Low,Silver,2015-06-27
MEM-179,Scott Allen,Home Office,52,Male,Medium,Bronze,2015-06-28
MEM-180,Brandi Ball,Consumer,59,Female,Medium,Bronze,2015-06-29
MEM-181,Paul Thompson,Consumer,30,Male,Low,Bronze,2015-06-30
MEM-182,Michael Ellis,Consumer,54,Female,Medium,Bronze,2015-07-01
MEM-183,Shane Gomez,Home Office,66,Female,Low,Bronze,2015-07-02
